Country Name,Current Debt (%),Avg GDP Growth (%),> Abs Min (43.1%),> Max +1σ (60.2%),> Max +3σ (92.2%)
Australia,50.22,2.44,YES,NO,NO
Austria,78.34,1.15,YES,YES,NO
Belgium,102.56,1.35,YES,YES,YES
Brazil,83.94,1.34,YES,YES,NO
Canada,104.21,1.77,YES,YES,YES
Chile,37.91,2.82,NO,NO,NO
China,75.45,7.15,YES,YES,NO
Colombia,61.3,3.52,YES,YES,NO
Costa Rica,63.5,3.22,YES,YES,NO
Czech Republic,42.52,1.56,NO,NO,NO
Denmark,34.08,1.25,NO,NO,NO
Egypt,88.53,4.01,YES,YES,NO
Estonia,19.11,1.88,NO,NO,NO
Finland,74.03,0.31,YES,YES,NO
France,111.36,0.96,YES,YES,YES
Germany,65.0,1.13,YES,YES,NO
Greece,178.44,-1.35,YES,YES,YES
Hungary,73.86,2.09,YES,YES,NO
Iceland,67.53,1.72,YES,YES,NO
India,82.17,6.12,YES,YES,NO
Indonesia,40.14,4.7,NO,NO,NO
Ireland,43.15,6.35,YES,NO,NO
Israel,60.47,3.93,YES,YES,NO
Italy,138.35,0.13,YES,YES,YES
Japan,248.31,0.41,YES,YES,YES
Latvia,44.43,1.07,YES,NO,NO
Lithuania,38.06,2.34,NO,NO,NO
Luxembourg,24.9,1.95,NO,NO,NO
Netherlands,48.35,1.38,YES,NO,NO
Norway,36.11,1.36,NO,NO,NO
Poland,48.79,3.62,YES,NO,NO
Portugal,111.23,0.68,YES,YES,YES
Russia,18.48,1.02,NO,NO,NO
Slovakia,57.57,2.06,YES,NO,NO
Slovenia,72.74,1.33,YES,YES,NO
South Korea,49.8,3.01,YES,NO,NO
Spain,109.4,0.66,YES,YES,YES
Sweden,33.63,1.79,NO,NO,NO
Switzerland,37.19,1.69,NO,NO,NO
Turkey,30.8,5.24,NO,NO,NO
United Arab Emirates,32.06,2.51,NO,NO,NO
United Kingdom,99.61,1.34,YES,YES,YES
United States,118.81,1.99,YES,YES,YES
