Country Name,Current Debt (%),Avg GDP Growth (%),> Abs Min (65.7%),> Max +1σ (73.7%),> Max +3σ (77.7%)
Australia,11.74,3.71,NO,NO,NO
Austria,69.53,2.49,YES,NO,NO
Belgium,93.16,2.37,YES,YES,YES
Canada,70.36,2.96,YES,NO,NO
Czech Republic,28.15,3.45,NO,NO,NO
Denmark,35.54,2.11,NO,NO,NO
Estonia,4.67,6.1,NO,NO,NO
Finland,32.56,3.8,NO,NO,NO
France,69.82,2.25,YES,NO,NO
Germany,65.16,1.58,NO,NO,NO
Greece,110.91,3.5,YES,YES,YES
Iceland,110.36,4.43,YES,YES,YES
Indonesia,30.25,5.16,NO,NO,NO
Ireland,42.51,6.38,NO,NO,NO
Israel,70.15,4.13,YES,NO,NO
Italy,105.8,1.45,YES,YES,YES
Japan,180.85,1.11,YES,YES,YES
Latvia,16.95,6.32,NO,NO,NO
Lithuania,14.59,6.1,NO,NO,NO
Luxembourg,14.63,4.25,NO,NO,NO
Netherlands,54.35,2.93,NO,NO,NO
Norway,47.55,2.82,NO,NO,NO
Portugal,75.64,2.39,YES,YES,NO
Slovakia,28.61,5.06,NO,NO,NO
Slovenia,21.89,4.15,NO,NO,NO
South Korea,25.86,5.65,NO,NO,NO
Spain,39.61,3.39,NO,NO,NO
Sweden,37.95,2.96,NO,NO,NO
Switzerland,44.82,2.11,NO,NO,NO
United Kingdom,50.83,2.8,NO,NO,NO
United States,73.59,3.0,YES,NO,NO
