General Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates start after
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.016497,16.406689,21.607126,27.631688,30.665034,31.709047,31.143021,29.345241,25.907213,23.698221,22.543955,19.495351,17.105665,15.010398,13.186322,11.907291,10.858112,9.9377855,9.6654472,11.741729,16.622245,20.349581,24.040466,27.521471,30.466475,34.036272,37.725806,40.620637,41.195415,41.758013,46.720395,57.091508,55.536795,50.221601,48.972781,49.828052,2024
Austria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.649735,17.389201,16.681548,16.69436,16.821684,22.841119,26.188977,28.489775,32.150983,34.129521,35.591785,37.474346,39.710841,43.651391,46.006996,47.767071,51.950128,55.490768,57.680598,56.641837,56.239482,56.443053,56.336007,60.962443,64.071427,68.238169,68.180321,63.373173,69.196552,61.339556,66.108882,67.238356,67.44032,66.411818,65.912064,69.427592,68.176417,65.813112,69.52806,80.752328,83.65397,83.356075,82.935499,82.430835,85.20981,85.614769,83.419065,79.057183,74.586245,71.005856,83.183042,82.394523,78.343932,78.404244,81.205646,2024
Belgium,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.596594,63.530067,64.934534,63.749018,61.749869,59.520324,61.381489,61.634355,65.154347,69.199449,76.796468,89.685638,99.633508,110.28688,114.61184,119.38722,124.66971,129.22713,129.68559,126.40723,130.30699,131.79659,134.68337,138.92523,137.08275,131.28605,129.00396,124.2712,119.1859,115.36185,109.58904,108.21685,105.43668,101.65931,97.169665,95.14187,91.494413,87.324624,93.159779,99.853049,100.24502,102.73534,104.33474,105.02132,106.52412,105.52513,105.40368,102.3996,99.977366,97.461028,111.09844,108.37017,102.55508,103.12131,104.46778,2024
Canada,87.749903,76.520917,70.054312,67.192534,68.277314,66.456116,58.404764,57.632371,63.096356,64.175397,64.874549,67.360435,66.641207,65.377952,62.025052,58.308955,57.071468,57.024001,56.320384,54.425403,56.74467,57.892179,56.689727,52.330526,49.502748,49.877217,42.836137,44.299541,47.117918,44.161177,44.589724,46.07713,51.706678,57.211249,60.212917,65.166256,69.32348,69.76068,69.7445,70.986777,73.744251,81.658172,88.229988,94.730248,97.480466,100.08417,100.24388,95.272492,93.290188,88.965669,80.436608,81.462033,79.604069,75.911797,71.8894,70.64041,69.919832,67.181353,70.35535,81.804123,83.976212,84.286296,87.150948,87.60508,85.540514,92.028852,92.396824,90.942246,90.776119,90.210165,118.06558,112.61731,104.20738,107.71072,110.76918,2024
Chile,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.136493,36.961679,30.290659,27.969412,22.568587,17.214625,14.584476,12.779823,12.115297,13.277007,13.14564,14.348084,15.04533,12.573018,10.314065,7.0396205,5.0223977,3.9012603,4.9159891,5.8449264,8.6073275,11.12689,11.939073,12.784064,15.019748,17.37466,21.100505,23.651639,25.798028,28.329642,32.380101,36.447857,37.907331,39.41519,41.980756,2024
Colombia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.276291,25.252401,27.442235,33.968611,37.972177,41.07851,47.526084,45.021342,41.465506,38.532609,35.969176,32.663251,32.382419,35.386764,36.49704,35.783449,33.966527,37.592206,43.318837,50.37476,49.904076,49.448557,51.761259,50.971504,65.274227,64.416601,61.299782,55.456568,61.276566,2024
Costa Rica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,26.086626,28.199326,29.991697,34.120779,35.387792,37.83697,40.204355,44.385987,47.434115,52.255879,56.922402,67.380816,68.144073,63.498513,61.602525,60.170254,2024
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.476376,11.506143,12.123598,13.876998,15.087848,16.894528,22.596885,25.703152,28.061586,28.288733,27.677815,27.564803,27.34598,28.154947,33.430499,36.70009,39.401957,43.835303,44.141092,41.54618,39.469493,36.232214,33.781826,31.677756,29.551736,36.882939,40.692005,42.520375,42.449171,42.98805,2024
Denmark,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.580173,10.715041,9.3832142,7.4233088,6.9656805,11.17437,13.720674,16.935556,20.546112,25.328146,45.750444,55.938722,67.916415,79.066284,80.337738,77.814061,75.30272,71.877688,70.145489,68.313378,69.404483,70.245584,66.748112,78.673354,75.30654,71.453829,68.31606,64.388165,60.318608,56.788828,53.552572,50.096446,50.319806,48.162303,46.215143,39.359931,33.191019,29.482647,35.53918,43.048747,46.123275,49.986205,48.71121,47.769891,48.712443,44.550356,41.691946,40.152558,38.538748,38.334642,46.278416,40.487225,34.076839,33.588568,27.993064,2024
